Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Jakarta South,PM2.5 - Principal,2016-01-29 05:00 PM,2016,01,29,17,32.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-29 06:00 PM,2016,01,29,18,30.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-29 07:00 PM,2016,01,29,19,32.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-29 08:00 AM,2016,01,29,08,68.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-29 09:00 AM,2016,01,29,09,46.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-29 10:00 AM,2016,01,29,10,33.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-29 11:00 AM,2016,01,29,11,28.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-29 12:00 PM,2016,01,29,12,38.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-29 01:00 PM,2016,01,29,13,60.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-29 02:00 AM,2016,01,29,02,66.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-29 03:00 AM,2016,01,29,03,94.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-29 04:00 AM,2016,01,29,04,86.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-29 05:00 AM,2016,01,29,05,81.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-29 06:00 AM,2016,01,29,06,78.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-29 07:00 AM,2016,01,29,07,78.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 08:00 PM,2016,01,28,20,31.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 09:00 PM,2016,01,28,21,45.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 10:00 PM,2016,01,28,22,35.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 11:00 PM,2016,01,28,23,45.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-29 12:00 AM,2016,01,29,00,51.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-29 01:00 AM,2016,01,29,01,56.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 02:00 PM,2016,01,28,14,32.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 03:00 PM,2016,01,28,15,32.0,UG/M3,1 Hr,Valid
