Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Kolkata,PM2.5 - Principal,2016-01-03 06:00 AM,2016,01,03,06,490.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 07:00 PM,2016,01,02,19,304.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 08:00 PM,2016,01,02,20,379.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 09:00 PM,2016,01,02,21,431.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 10:00 PM,2016,01,02,22,412.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 11:00 PM,2016,01,02,23,432.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-03 12:00 AM,2016,01,03,00,392.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 01:00 PM,2016,01,02,13,205.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 02:00 PM,2016,01,02,14,190.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 03:00 PM,2016,01,02,15,192.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 04:00 PM,2016,01,02,16,189.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 05:00 PM,2016,01,02,17,211.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 06:00 PM,2016,01,02,18,234.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 07:00 AM,2016,01,02,07,447.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 08:00 AM,2016,01,02,08,490.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 09:00 AM,2016,01,02,09,440.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 10:00 AM,2016,01,02,10,387.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 11:00 AM,2016,01,02,11,313.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 12:00 PM,2016,01,02,12,239.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 01:00 AM,2016,01,02,01,354.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 02:00 AM,2016,01,02,02,408.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 03:00 AM,2016,01,02,03,323.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 04:00 AM,2016,01,02,04,209.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 05:00 AM,2016,01,02,05,223.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 06:00 AM,2016,01,02,06,316.0,UG/M3,1 Hr,Valid
