Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Ulaanbaatar,PM2.5 - Principal,2016-02-03 03:00 AM,2016,02,03,03,292.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-03 04:00 AM,2016,02,03,04,217.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-03 05:00 AM,2016,02,03,05,179.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-03 06:00 AM,2016,02,03,06,262.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-03 07:00 AM,2016,02,03,07,302.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-03 08:00 AM,2016,02,03,08,201.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-03 09:00 AM,2016,02,03,09,-999.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-03 10:00 AM,2016,02,03,10,300.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-03 11:00 AM,2016,02,03,11,208.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-03 12:00 PM,2016,02,03,12,995.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2016-02-03 01:00 PM,2016,02,03,13,995.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2016-02-03 02:00 PM,2016,02,03,14,247.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-03 03:00 PM,2016,02,03,15,194.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-03 04:00 PM,2016,02,03,16,138.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-03 05:00 PM,2016,02,03,17,81.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-03 06:00 PM,2016,02,03,18,61.0,UG/M3,1 Hr,Valid
