Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,24-hr. Midpoint Avg. Conc.,24-hr. Midpoint Avg. AQI,24-hr. Midpoint Avg. AQI Category,NowCast Conc.,NowCast AQI,NowCast AQI Category,Conc. Unit,Duration,QC Name
Hyderabad,PM2.5 - Principal,2016-11-02 04:00 PM,2016,11,02,16,75.0,,,,,,,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-11-02 05:00 PM,2016,11,02,17,76.0,,,,,,,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-11-02 06:00 PM,2016,11,02,18,95.0,,,,,,,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-11-02 07:00 PM,2016,11,02,19,104.0,,,,,,,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-11-02 08:00 PM,2016,11,02,20,94.0,,,,,,,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-11-02 09:00 PM,2016,11,02,21,102.0,,,,,,,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-11-02 10:00 PM,2016,11,02,22,95.0,,,,,,,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-11-02 11:00 PM,2016,11,02,23,99.0,,,,,,,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-11-03 12:00 AM,2016,11,03,00,99.0,,,,,,,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-11-03 01:00 AM,2016,11,03,01,71.0,,,,,,,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-11-03 02:00 AM,2016,11,03,02,83.0,,,,,,,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-11-03 03:00 AM,2016,11,03,03,77.0,,,,,,,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-11-03 04:00 AM,2016,11,03,04,79.0,,,,,,,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-11-03 05:00 AM,2016,11,03,05,77.0,,,,,,,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-11-03 06:00 AM,2016,11,03,06,86.0,,,,,,,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-11-03 07:00 AM,2016,11,03,07,119.0,,,,,,,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-11-03 08:00 AM,2016,11,03,08,88.0,,,,,,,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-11-03 09:00 AM,2016,11,03,09,81.0,,,,,,,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-11-03 10:00 AM,2016,11,03,10,62.0,,,,,,,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-11-03 11:00 AM,2016,11,03,11,64.0,,,,,,,UG/M3,1 Hr,Valid
