Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,24-hr. Midpoint Avg. Conc.,24-hr. Midpoint Avg. AQI,24-hr. Midpoint Avg. AQI Category,NowCast Conc.,NowCast AQI,NowCast AQI Category,Conc. Unit,Duration,QC Name
"[Addis Ababa Central, PM2.5 - Principal, 2016-10-02 02:00 PM, 2016, 10, 02, 14, 16.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Addis Ababa Central, PM2.5 - Principal, 2016-10-02 03:00 PM, 2016, 10, 02, 15, 16.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Addis Ababa Central, PM2.5 - Principal, 2016-10-02 04:00 PM, 2016, 10, 02, 16, 19.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Addis Ababa Central, PM2.5 - Principal, 2016-10-02 05:00 PM, 2016, 10, 02, 17, 13.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Addis Ababa Central, PM2.5 - Principal, 2016-10-02 06:00 PM, 2016, 10, 02, 18, 18.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Addis Ababa Central, PM2.5 - Principal, 2016-10-02 07:00 PM, 2016, 10, 02, 19, 34.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Addis Ababa Central, PM2.5 - Principal, 2016-10-02 08:00 PM, 2016, 10, 02, 20, 28.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Addis Ababa Central, PM2.5 - Principal, 2016-10-02 09:00 PM, 2016, 10, 02, 21, 41.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Addis Ababa Central, PM2.5 - Principal, 2016-10-02 10:00 PM, 2016, 10, 02, 22, 43.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Addis Ababa Central, PM2.5 - Principal, 2016-10-02 11:00 PM, 2016, 10, 02, 23, 32.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Addis Ababa Central, PM2.5 - Principal, 2016-10-03 12:00 AM, 2016, 10, 03, 00, 20.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Addis Ababa Central, PM2.5 - Principal, 2016-10-03 01:00 AM, 2016, 10, 03, 01, 29.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Addis Ababa Central, PM2.5 - Principal, 2016-10-03 02:00 AM, 2016, 10, 03, 02, 20.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Addis Ababa Central, PM2.5 - Principal, 2016-10-03 03:00 AM, 2016, 10, 03, 03, 12.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Addis Ababa Central, PM2.5 - Principal, 2016-10-03 04:00 AM, 2016, 10, 03, 04, 13.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Addis Ababa Central, PM2.5 - Principal, 2016-10-03 05:00 AM, 2016, 10, 03, 05, 14.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Addis Ababa Central, PM2.5 - Principal, 2016-10-03 06:00 AM, 2016, 10, 03, 06, 13.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Addis Ababa Central, PM2.5 - Principal, 2016-10-03 07:00 AM, 2016, 10, 03, 07, 44.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Addis Ababa Central, PM2.5 - Principal, 2016-10-03 08:00 AM, 2016, 10, 03, 08, 19.0, , , , , , , UG/M3, 1 Hr, Valid]"
